Timestep;NBPresence;NBPresencePercentage
0;11;0,030136986
1;13;0,035616438
2;11;0,030136986
3;9;0,024657534
4;8;0,021917808
5;8;0,021917808
6;10;0,02739726
7;13;0,035616438
8;15;0,04109589
9;13;0,035616438
10;13;0,035616438
11;14;0,038356164
12;15;0,04109589
13;13;0,035616438
14;11;0,030136986
15;12;0,032876712
16;11;0,030136986
17;13;0,035616438
18;13;0,035616438
19;11;0,030136986
20;12;0,032876712
21;12;0,032876712
22;11;0,030136986
23;11;0,030136986
24;9;0,024657534
25;9;0,024657534
26;6;0,016438356
27;6;0,016438356
28;7;0,019178082
29;11;0,030136986
30;9;0,024657534
31;10;0,02739726
32;10;0,02739726
33;8;0,021917808
34;7;0,019178082
35;8;0,021917808
36;10;0,02739726
37;13;0,035616438
38;16;0,043835616
39;16;0,043835616
40;15;0,04109589
41;13;0,035616438
42;13;0,035616438
43;11;0,030136986
44;11;0,030136986
45;10;0,02739726
46;8;0,021917808
47;8;0,021917808
48;9;0,024657534
49;8;0,021917808
50;7;0,019178082
51;9;0,024657534
52;11;0,030136986
53;13;0,035616438
54;11;0,030136986
55;11;0,030136986
56;13;0,035616438
57;13;0,035616438
58;14;0,038356164
59;13;0,035616438
60;11;0,030136986
61;8;0,021917808
62;9;0,024657534
63;11;0,030136986
64;10;0,02739726
65;12;0,032876712
66;12;0,032876712
67;10;0,02739726
68;12;0,032876712
69;16;0,043835616
70;15;0,04109589
71;17;0,046575342
72;17;0,046575342
73;13;0,035616438
74;10;0,02739726
75;9;0,024657534
76;14;0,038356164
77;18;0,049315068
78;13;0,035616438
79;16;0,043835616
80;14;0,038356164
81;12;0,032876712
82;10;0,02739726
83;11;0,030136986
84;17;0,046575342
85;23;0,063013699
86;32;0,087671233
87;39;0,106849315
88;42;0,115068493
89;46;0,126027397
90;42;0,115068493
91;51;0,139726027
92;51;0,139726027
93;51;0,139726027
94;57;0,156164384
95;68;0,18630137
96;80;0,219178082
97;84;0,230136986
98;88;0,24109589
99;87;0,238356164
100;89;0,243835616
101;95;0,260273973
102;93;0,254794521
103;100;0,273972603
104;103;0,282191781
105;116;0,317808219
106;115;0,315068493
107;108;0,295890411
108;95;0,260273973
109;100;0,273972603
110;90;0,246575342
111;88;0,24109589
112;91;0,249315068
113;81;0,221917808
114;88;0,24109589
115;92;0,252054795
116;88;0,24109589
117;85;0,232876712
118;89;0,243835616
119;93;0,254794521
120;93;0,254794521
121;87;0,238356164
122;90;0,246575342
123;88;0,24109589
124;90;0,246575342
125;86;0,235616438
126;91;0,249315068
127;93;0,254794521
128;93;0,254794521
129;89;0,243835616
130;95;0,260273973
131;101;0,276712329
132;101;0,276712329
133;97;0,265753425
134;97;0,265753425
135;97;0,265753425
136;86;0,235616438
137;86;0,235616438
138;81;0,221917808
139;76;0,208219178
140;72;0,197260274
141;69;0,189041096
142;58;0,15890411
143;54;0,147945205
144;64;0,175342466
145;62;0,169863014
146;64;0,175342466
147;68;0,18630137
148;72;0,197260274
